keyframe,x,y,z
48125,-3.9644396,-15.733718,4.58558
48126,-3.85782,-15.3852,4.5909195
48127,-3.5877404,-15.10584,4.5182
48128,-3.7956197,-15.498999,4.4004793
48129,-3.8552,-15.729101,4.4090195
48130,-3.7219,-15.179641,4.6937604
48131,-3.7512596,-15.103239,4.75232
48132,-3.5840797,-15.603899,4.5738006
48133,-3.76902,-15.10538,4.4253
48134,-3.7095602,-15.479842,4.4412994
48135,-3.6607602,-15.119463,4.58328
48136,-3.5796196,-15.322838,4.84878
48137,-3.7233,-15.503459,4.79744
48138,-3.7549002,-15.656918,4.6139803
48139,-4.1018,-15.997076,4.3454
48140,-4.0349207,-15.991838,4.7476807
48141,-4.1442804,-15.549357,4.59012
48142,-3.9403396,-15.460019,4.3846602
48143,-3.9690998,-15.125341,4.2871594
48144,-4.2903395,-15.259918,4.4206996
48145,-4.2788596,-15.476859,4.4380784
48146,-4.0836997,-15.113818,4.3261003
48147,-3.8765204,-15.64442,4.165179
48148,-3.8889196,-15.240798,4.40252
48149,-4.10012,-15.831199,4.14652
48150,-3.9609203,-15.701739,4.377061
48151,-3.9612799,-15.4392,4.1220603
48152,-4.1646,-15.372957,3.9932196
48153,-4.24072,-15.287119,4.1190996
48154,-4.29904,-15.5951805,4.16656
48155,-4.0257797,-15.376418,3.9387796
48156,-3.9684997,-15.3352995,3.8623805
48157,-4.1455007,-15.441041,4.05684
48158,-3.8414602,-15.147058,4.0281405
48159,-3.8619592,-15.040761,3.8461401
48160,-3.9786394,-15.012358,3.6078002
48161,-4.099099,-15.48228,3.7971196
48162,-3.895139,-15.18598,3.7192605
48163,-4.058699,-15.223339,3.9069595
48164,-3.55478,-15.4046,3.7358391
48165,-3.9355602,-15.458139,3.7586803
48166,-3.7415004,-15.501121,4.15326
48167,-4.0076,-15.761339,4.163699
48168,-4.2063794,-15.787098,4.1125994
48169,-4.21126,-15.5881405,4.110179
48170,-4.2372203,-15.713741,4.2451596
48171,-4.07092,-15.575717,4.15814
48172,-3.9325597,-15.529498,4.31886
48173,-4.36826,-15.295638,3.5940988
48174,-4.0443,-14.992399,3.5269797
48175,-4.0793004,-15.197421,3.664899
48176,-4.01984,-15.1502,3.7417
48177,-3.97178,-15.079601,4.0264397
48178,-4.1245008,-15.354741,3.6989398
48179,-3.8552594,-15.67734,3.85604
48180,-3.8029203,-15.086941,3.5608397
48181,-3.98636,-15.544398,3.4961596
48182,-3.947379,-15.421339,3.7506804
48183,-4.1820803,-15.71494,4.33014
48184,-4.1785,-15.523296,4.299199
48185,-3.89032,-15.9946785,4.0220194
48186,-3.7785602,-15.26294,4.2515793
48187,-3.8069594,-15.344622,4.54956
48188,-4.10626,-15.33692,4.4695587
48189,-3.5255203,-15.586258,4.53054
48190,-3.7556999,-15.1358795,4.3892198
48191,-3.7955596,-15.421925,4.47136
48192,-3.8872802,-15.015858,4.1531796
48193,-3.8199797,-15.41126,4.0159802
48194,-3.9224002,-15.026961,4.08486
48195,-3.7206798,-14.985599,4.5195
48196,-3.7144394,-15.068479,4.4030395
48197,-3.5116987,-15.857939,4.82414
48198,-3.6438403,-15.590119,4.3062205
48199,-4.1138196,-15.359878,4.08202
48200,-4.20262,-15.541518,3.92392
48201,-4.07846,-15.708862,4.1172204
48202,-4.228679,-15.9301195,4.4373994
48203,-4.286741,-15.35446,4.13004
48204,-3.5495796,-15.59418,4.21626
48205,-4.0471797,-15.772459,4.3649592
48206,-3.8142996,-15.374182,4.2810187
48207,-4.0254397,-15.181698,4.1067796
48208,-3.9382393,-15.339661,4.2085805
48209,-3.7316604,-15.757421,4.3926606
48210,-4.0995193,-15.268299,3.8625805
48211,-3.9145596,-15.60368,3.8943398
48212,-3.8616796,-15.456639,4.0302005
48213,-3.8935997,-15.542099,4.3369803
48214,-3.9393399,-15.477578,4.1886396
48215,-3.8963995,-15.796218,4.4182606
48216,-3.6885803,-15.567361,4.78678
48217,-3.9770203,-15.642756,4.4498796
48218,-4.1311197,-15.7884,4.6053205
48219,-4.4153204,-15.41798,4.2482195
48220,-4.12126,-15.691599,4.34026
48221,-3.9821799,-15.738643,4.5590405
48222,-3.99234,-15.239638,4.1817
48223,-3.7994401,-15.488998,3.9386814
48224,-3.7838392,-15.5463,3.9519405
48225,-3.78434,-15.321457,3.9921389
48226,-3.92054,-15.180298,3.9946
48227,-4.2577,-15.436181,3.97362
48228,-3.6305606,-15.164998,4.0441
48229,-3.8850002,-15.308699,3.8067598
48230,-4.1127405,-15.258501,3.91694
48231,-3.70758,-15.060997,4.0637803
48232,-4.1199,-14.756921,4.0532603
48233,-4.2146196,-14.8886175,4.4518194
48234,-4.3433194,-14.590277,3.9945598
48235,-4.05156,-14.879403,3.9034598
48236,-4.3334403,-14.874421,3.5797198
48237,-3.8468199,-14.894139,4.0462394
48238,-4.211139,-14.734981,4.2472796
48239,-4.101061,-14.86616,3.9889598
48240,-4.23354,-15.202281,4.3314204
48241,-4.0223007,-14.90404,4.321059
48242,-4.01122,-14.570579,3.9647398
48243,-4.089959,-14.882621,4.2681203
48244,-3.7483602,-14.614502,4.2433796
48245,-4.1278205,-14.930238,4.16868
48246,-3.93704,-14.912798,4.6780205
48247,-4.00254,-14.800921,4.3299003
48248,-3.93888,-15.130402,4.3721194
48249,-3.99618,-15.22938,4.60966
48250,-3.7763598,-15.295421,4.5349994
48251,-4.26646,-14.547002,4.2594805
48252,-4.09384,-14.683961,4.162259
48253,-3.7836797,-14.78802,4.0088997
48254,-4.2039995,-14.734199,4.353699
48255,-3.8637404,-14.81408,3.9083798
48256,-3.6733403,-14.912338,4.1688395
48257,-3.9253607,-15.05168,4.1963406
48258,-3.74074,-15.099279,4.3276396
48259,-3.72088,-14.76668,4.1495185
48260,-3.7892604,-15.066181,4.08042
48261,-3.9541795,-14.744399,3.8551207
48262,-3.7318988,-15.233636,4.370201
48263,-3.9274597,-15.118597,4.3637204
48264,-4.20778,-15.087841,4.02794
48265,-4.2439203,-14.724699,3.8733597
48266,-3.725299,-14.670416,3.9635994
48267,-3.6772199,-15.0793,3.9628396
48268,-3.4187403,-15.15298,4.6290193
48269,-4.12048,-15.2460375,3.6766808
48270,-3.96122,-15.049482,3.7191994
48271,-4.2388,-14.980401,3.7144601
48272,-3.9532597,-14.8745,3.8065197
48273,-4.1768193,-14.880982,4.0757394
48274,-3.6743796,-14.778521,3.699359
48275,-4.0654,-15.004021,3.4223995
48276,-4.14898,-14.79364,3.7372
48277,-4.01462,-15.15598,4.1928596
48278,-4.124,-14.673559,4.0534596
48279,-4.3304205,-14.52118,3.812279
48280,-4.48624,-14.643361,3.95294
48281,-4.4688196,-14.391661,3.9749398
48282,-4.32684,-14.9068,3.8256204
48283,-4.5031996,-14.439341,3.6665797
48284,-4.28448,-14.614422,4.2049394
48285,-4.3695407,-14.722562,3.872781
48286,-4.1868596,-14.6018,3.6663404
48287,-4.295079,-14.3956,3.7905996
48288,-4.12822,-14.310639,3.68554
48289,-4.1909404,-14.250621,3.6762598
48290,-4.25752,-14.070039,3.9474404
48291,-4.3132205,-14.299962,3.7372203
48292,-4.09242,-14.418481,3.4576204
48293,-3.99058,-14.512317,3.6447008
48294,-4.28224,-14.73602,3.4856594
48295,-4.26104,-14.447362,3.8302605
48296,-3.7534604,-14.49388,3.87786
48297,-3.9957805,-14.328078,3.6664395
48298,-4.0589404,-14.252002,3.8119807
48299,-4.0971804,-14.048922,3.65136
48300,-4.38242,-14.41216,3.7611003
48301,-4.2073,-14.46216,3.8287997
48302,-3.8589206,-14.547038,3.6520402
48303,-3.9991403,-14.19972,3.4619794
48304,-4.1842194,-14.008702,3.40324
48305,-4.0682197,-14.151779,3.8818405
48306,-4.4275193,-14.369343,3.67552
48307,-4.171999,-14.535898,4.2383194
48308,-4.1247196,-14.192738,3.8770797
48309,-4.1752796,-14.413818,3.9263797
48310,-4.225479,-14.17106,3.9206395
48311,-4.5729194,-14.457098,4.0625796
48312,-3.92334,-14.152679,3.5523403
48313,-4.4083805,-14.104518,3.99406
48314,-4.0597396,-14.230579,4.07508
48315,-4.1007805,-14.363941,3.9016004
48316,-4.16646,-14.012619,3.7456596
48317,-4.3068604,-14.200958,3.5387201
48318,-3.9516397,-14.37784,3.77582
48319,-4.3309603,-14.397058,4.1530404
48320,-4.233159,-14.139021,4.07968
48321,-3.9948397,-14.381019,4.107
48322,-3.7896202,-14.090156,3.8551395
48323,-3.9824207,-14.525801,4.1435595
48324,-4.1362796,-14.4532385,4.08906
48325,-4.4022593,-14.453402,3.9288793
48326,-4.18108,-14.427678,3.9090412
48327,-4.4503994,-14.474742,3.7114403
48328,-4.2352405,-14.351541,3.6467803
48329,-4.12956,-14.17192,3.7988594
48330,-4.07796,-14.33596,4.03688
48331,-4.18276,-14.027579,4.22834
48332,-4.151759,-14.060377,3.9213195
48333,-4.2641993,-14.222779,3.8928194
48334,-4.3824997,-14.37124,3.8523
48335,-4.13466,-14.568941,4.19558
48336,-4.223,-14.29674,4.27662
48337,-4.459541,-14.561119,4.2414594
48338,-4.4023795,-14.3402405,3.8978798
48339,-4.5789,-14.220659,4.31878
48340,-4.33406,-14.371139,3.9768999
48341,-4.44772,-14.801638,3.7264204
48342,-4.3933606,-14.656062,3.9601398
48343,-4.1037397,-14.761037,4.0512595
48344,-4.2574596,-14.51288,3.8109398
48345,-4.1746397,-14.784217,4.0969996
48346,-4.6744003,-14.853316,4.0742
48347,-4.5146804,-14.5619,3.9444203
48348,-4.6922607,-14.663676,4.0999002
48349,-4.7772393,-14.620559,4.1531806
48350,-4.8406205,-14.435539,3.9756005
48351,-4.5701995,-14.710981,4.0474
48352,-4.6330795,-14.994583,3.9714003
48353,-4.5322404,-15.013882,4.18012
48354,-4.27302,-14.432839,3.6593597
48355,-4.3212404,-14.600499,3.7895591
48356,-4.261719,-14.702881,3.8504002
48357,-4.7435794,-14.300657,3.8576186
48358,-4.6396604,-14.583562,3.6366003
48359,-4.853139,-14.785319,4.0012794
48360,-4.6727805,-14.491042,3.9820197
48361,-4.55734,-14.615679,4.0511603
48362,-4.5300198,-14.499318,3.9616394
48363,-4.38888,-14.569978,3.7529802
48364,-4.616,-14.287519,3.9441807
48365,-4.2694798,-14.401398,4.0403795
48366,-4.31916,-14.50552,3.8293593
48367,-4.7983,-14.517919,4.2552404
48368,-4.7254,-14.803279,3.8016608
48369,-4.7968593,-14.76182,3.852
48370,-4.98824,-14.746899,3.6325002
48371,-4.8998604,-14.287822,3.7997403
48372,-4.5325804,-14.55956,3.88522
48373,-4.630659,-14.652318,4.20086
48374,-4.4351397,-14.3906,3.6860194
48375,-4.4425406,-14.227841,3.46852
48376,-4.5699596,-14.43556,3.8032794
48377,-4.59862,-14.656039,3.7557406
48378,-4.6708198,-14.532219,3.75194
48379,-4.3241,-14.356482,3.7232006
48380,-4.4028997,-14.851821,3.7785797
48381,-4.489799,-14.323081,3.80316
48382,-4.6516204,-14.38222,3.4298003
48383,-4.75946,-14.73264,3.97998
48384,-4.5604005,-14.68752,3.7884805
48385,-4.1899204,-14.52756,4.03988
48386,-4.3740597,-14.067139,3.60126
48387,-4.2972593,-14.739802,4.2918596
48388,-4.5398593,-14.497003,4.21102
48389,-4.59592,-14.208856,3.9710598
48390,-4.4468,-14.714802,4.08594
48391,-4.12974,-14.218582,4.1838403
48392,-4.0650406,-14.491558,4.1110992
48393,-4.2819204,-14.810281,4.12764
48394,-4.4028406,-14.778622,3.8530602
48395,-4.59908,-14.450179,3.9375799
48396,-4.5083604,-14.323099,3.9260793
48397,-4.3062,-14.358238,3.8849795
48398,-4.3880596,-14.540782,3.8674
48399,-4.2163806,-14.618098,3.82562
48400,-4.4936204,-14.67634,3.6802
48401,-4.59384,-14.595342,3.9491992
48402,-4.3599,-14.421802,3.6056
48403,-4.41542,-14.56854,3.8135002
48404,-4.50814,-14.73952,3.6620398
48405,-4.0578003,-14.7428,4.0435004
48406,-4.45766,-14.422238,3.9322205
48407,-4.182221,-14.501921,3.8181593
48408,-4.37714,-14.316399,3.82804
48409,-4.7011805,-14.667119,3.5410402
48410,-4.4177995,-14.42232,3.57672
48411,-4.4657,-14.423581,4.08016
48412,-4.3717403,-14.286061,3.74566
48413,-4.5836596,-14.443021,3.8328803
48414,-4.6072,-14.631699,3.833901
48415,-4.90672,-14.40584,3.8619998
48416,-4.63904,-14.333657,4.1372395
48417,-4.451979,-14.421963,4.2235203
48418,-4.25606,-14.184117,3.7594795
48419,-4.40996,-14.30522,3.7655597
48420,-4.9133596,-14.715162,4.1585593
48421,-4.2578197,-14.789459,4.16046
48422,-4.74842,-14.386202,4.0563602
48423,-4.43226,-14.590822,4.038
48424,-4.72376,-14.603901,3.7728407
48425,-4.45368,-14.573576,3.4990797
48426,-4.39084,-14.517159,3.7804198
48427,-4.2857,-14.395359,3.7428997
48428,-4.5004,-14.82908,3.7980795
48429,-4.48512,-14.386498,3.73084
48430,-4.2843,-14.441538,3.6751199
48431,-4.5444794,-14.488561,3.6539595
48432,-4.3249397,-14.57964,4.0124598
48433,-4.4852595,-14.598541,3.6575
48434,-4.47918,-14.756401,3.8937204
48435,-4.6071005,-14.70334,3.95038
48436,-4.5137405,-14.623218,3.8806393
48437,-4.45606,-14.474738,4.12488
48438,-4.2330003,-14.513638,3.7239392
48439,-4.2763596,-14.603143,4.033
48440,-4.04318,-14.708741,4.2523584
48441,-4.2550607,-14.731899,4.410199
48442,-4.420299,-14.551439,3.8424995
48443,-4.2908998,-14.515337,4.12482
48444,-4.50466,-14.872739,4.39388
48445,-4.5506196,-14.48174,4.07744
48446,-4.6854,-14.83982,4.181601
48447,-4.551739,-14.395039,3.9369392
48448,-4.22404,-14.672679,4.18924
48449,-4.4101,-15.09278,4.3530593
48450,-4.2089,-14.668419,3.8452601
48451,-4.3221803,-14.463479,3.7756793
48452,-4.1568804,-14.938278,4.2394795
48453,-3.8366199,-15.157599,4.180741
48454,-4.3429804,-15.209422,4.37538
48455,-4.2165995,-14.857859,4.3011594
48456,-4.1947002,-14.665519,4.1911798
48457,-4.1990604,-14.961162,4.0513206
48458,-4.2180996,-14.727319,4.2785006
48459,-4.07998,-15.328659,4.3790193
48460,-4.3858805,-14.823722,4.3299003
48461,-3.8718197,-15.0348,4.44636
48462,-4.1931796,-14.845198,4.5619
48463,-4.026719,-14.860379,4.3610597
48464,-4.380161,-15.045079,4.1383796
48465,-4.5537,-15.07884,4.0066996
48466,-4.409139,-14.989117,3.75474
48467,-4.1012397,-14.564399,4.17468
48468,-4.3145,-14.839121,3.9676995
48469,-4.18692,-15.101398,3.7210395
48470,-4.1792197,-14.6631775,3.8379204
48471,-4.3104997,-14.736142,3.8097198
48472,-4.1544404,-14.90684,3.8108199
48473,-3.9756799,-14.46372,3.7806184
48474,-3.9249191,-14.81352,4.0068994
48475,-3.9010398,-14.754656,4.00456
48476,-4.1680408,-14.668859,3.9825792
48477,-4.0738196,-14.943682,4.1366606
48478,-4.1356,-14.936759,3.9561393
48479,-3.8214798,-15.312579,3.9598794
48480,-4.41714,-15.1491785,4.0808597
48481,-4.03586,-14.89042,4.1077595
48482,-4.1317005,-14.896199,4.1118193
48483,-4.5282197,-15.005577,3.834279
48484,-4.4384995,-14.740597,4.07236
48485,-4.5416803,-15.067359,4.1571994
48486,-4.2582397,-14.948678,4.2189994
48487,-4.36554,-14.784019,4.2190003
48488,-4.17246,-14.719319,4.026439
48489,-4.2797613,-14.497316,4.1559005
48490,-4.3962,-15.109997,4.1600003
48491,-4.41852,-14.962879,4.06324
48492,-4.31872,-14.595659,4.1359797
48493,-4.26196,-14.7862,4.18696
